Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
0.0,0.61,32.26,0.73,0.24,0.0,31.9,81.71,1.63,0.36,2.24,1.33,0.61,4.36,0.54,47.65,2.42,Flavien Tait,flavien-tait,,Yılport Samsunspor
0.0,0.51,68.75,0.75,0.05,0.05,48.29,83.6,0.84,0.61,4.39,1.91,1.82,3.13,0.33,44.58,0.7,Kartal Kayra Yılmaz,kartal-kayra-yilmaz,,Kayserispor
0.0,0.68,66.67,0.27,0.14,0.07,32.12,86.18,0.41,0.0,3.52,2.98,2.1,4.61,1.36,48.35,0.95,Yunus Konak,yunus-konak,,Sivasspor
0.0,0.12,20.0,1.08,0.42,0.0,36.98,86.19,0.6,0.18,2.03,1.2,1.5,2.27,2.51,49.38,0.96,Bakhtiyar Zaynutdinov,bakhtiyar-zaynutdinov,,Beşiktaş
0.0,4.33,71.01,2.12,0.79,0.09,25.44,87.8,0.71,0.18,1.94,0.79,0.79,6.45,0.35,57.89,1.32,Anastasios Chatzigiovanis,anastasios-chatzigiovanis,,MKE Ankaragücü
0.0,0.9,70.59,0.64,0.19,0.11,38.07,89.75,0.64,0.07,0.97,1.27,0.67,2.96,0.6,50.0,0.79,Berkay Özcan,berkay-ozcan,,Başakşehir FK
0.0,1.19,42.86,1.53,0.2,0.13,17.72,75.21,2.12,1.33,1.0,1.0,0.27,2.92,0.33,41.53,0.8,Zymer Bytyqi,zymer-bytyqi,,Antalyaspor
0.0,0.87,61.9,0.53,0.07,0.07,46.4,86.25,1.2,0.53,4.27,1.4,1.0,2.87,0.47,45.45,0.6,Sofiane Feghouli,sofiane-feghouli,,Fatih Karagümrük
0.0,0.8,100.0,1.28,0.32,0.0,28.4,82.79,0.32,0.0,2.71,3.35,1.44,5.11,1.91,54.32,0.96,Hakan Arslan,hakan-arslan,,Sivasspor
0.0,1.11,78.95,0.74,0.15,0.0,24.67,79.67,0.67,0.0,1.56,3.11,2.0,6.22,1.33,53.68,2.0,Erdal Rakip,erdal-rakip,,Antalyaspor
